fixtureId,gameNumber,fixtureDate,年,月,日,時間,fixtureDate,fixtureSort,Location,Home Team,Away Team,homeScore,awayScore
,42,31/03/2019 12:00,2019,03,31,12:00,2019/03/31,ラ・リーガ第29節,Estadio Santiago Bernabéu,Real Madrid,SD Huesca,,
,43,03/04/2019 12:00,2019,04,03,12:00,2019/04/03,ラ・リーガ第30節,Estadio de Mestalla,Valencia CF,Real Madrid,,
,44,07/04/2019 12:00,2019,04,07,12:00,2019/04/07,ラ・リーガ第31節,Estadio Santiago Bernabéu,Real Madrid,SD Eibar,,
,45,14/04/2019 12:00,2019,04,14,12:00,2019/04/14,ラ・リーガ第32節,Estadio Municipal Butarque,CD Leganés,Real Madrid,,
,46,21/04/2019 12:00,2019,04,21,12:00,2019/04/21,ラ・リーガ第33節,Estadio Santiago Bernabéu,Real Madrid,Athletic Club,,
,47,24/04/2019 12:00,2019,04,24,12:00,2019/04/24,ラ・リーガ第34節,Coliseum Alfonso Pérez,Getafe CF,Real Madrid,,
,48,28/04/2019 12:00,2019,04,28,12:00,2019/04/28,ラ・リーガ第35節,Estadio de Vallecas,Rayo Vallecano,Real Madrid,,
,49,05/05/2019 12:00,2019,05,05,12:00,2019/05/05,ラ・リーガ第36節,Estadio Santiago Bernabéu,Real Madrid,Villarreal CF,,
,50,12/05/2019 12:00,2019,05,12,12:00,2019/05/12,ラ・リーガ第37節,Estadio de Anoeta,Real Sociedad,Real Madrid,,
,51,19/05/2019 12:00,2019,05,19,12:00,2019/05/19,ラ・リーガ第38節,Estadio Santiago Bernabéu,Real Madrid,Real Betis,,
,,,,,,,,,,,,,
